img_url,title,artist,album,playtime,participation_info,lyrics,image_path,artist_name
https://image.bugsm.co.kr/album/images/200/110526/11052604.jpg?version=20190515014952.0,I Like Me Better,Lauv,I Like Me Better,03:17,,"To be young and in love in new york city
To not know who I am but still know that
I'm good long as you're here with me
To be drunk and in love in new york city
Midnight into morning coffee
Burning through the hours talking
Damn
I like me better when I'm with you
I like me better when I'm with you
I knew from the first time
I'd stay for a long time 'cause
I like me better when
I like me better when I'm with you
I don't know what it is but I got that feeling
Waking up in this bed next to you
Swear the room yeah it got no ceiling
If we lay let the day just pass us by
I might get to too much talking
I might have to tell you something
Damn
I like me better when I'm with you
I like me better when I'm with you
I knew from the first time
I'd stay for a long time 'cause
I like me better when
I like me better when I'm with you
Stay awhile stay awhile
Stay here with me
Stay awhile stay awhile oh
Stay awhile stay awhile
Stay here with me
Lay here with me ooh
I like me better when I'm with you
(Yes I do yes I do babe)
I like me better when I'm with you (oooh noo)
I knew from the first time
I'd stay for a long time 'cause
I like me better when
I like me better when I'm with you
(I like me I like me)
(Look who you made me made me oh noo)
Better when
I like me better when I'm with you",media/mysingimage/20240610001ILikeMeBetter.jpg,Lauv(라우브)
https://image.bugsm.co.kr/album/images/200/317556/31755650.jpg?version=20240516102348.0,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”),03:11,"작곡 Ari Leff , Thomas Newman 작사 Michael Matosic etc. Lauv(라우브)","Started out on a one way train
Always knew where I was gonna go next
Didn't know until I saw your face
I was missing out on every moment
you'll be one and baby i'll be two
Would you mind it
if i said i'm into to you (I'm into you)
So if it's real then darling let me know
I wouldn't mind if you steal the show
You and I we go together
You're the sky I'll be the weather
A pretty thing, the sun and rain, who knew?
Oooh, yeah
Summer night perfect occasion
Where am I you know I'll be waiting for you
Oh for you
So if it's real then darling let me know
I wouldn't mind if you steal the show
So if it's real then darling let me know
I wouldn't mind if you steal the show
You shine You shine like forever lasts forever
You shine You shine and steal the show
So if it's real then darling let me know
I wouldn't mind if you steal the show
(Started out on a one way train)
(Always knew where I was gonna go next)
So if it's real then darling let me know
(Didn't know until I saw your face)
(I was missing out on every moment)
(If you want it baby I'll be true)
(Would mind it if I said I'm into you)
I wouldn't mind if you steal the show",media/mysingimage/20240610002StealTheShowFromellimental.jpg,Lauv(라우브)
https://image.bugsm.co.kr/album/images/200/206298/20629850.jpg?version=20240403020906.0,Welcome to the Show,DAY6,Fourever,03:37,"보컬 DAY6 (데이식스) 작곡 성진 , Young K (DAY6) , 원필(DAY6) , 홍지상 작사 Young K (DAY6) 전체 보기","이젠 혼자가 아닐 무대
너무나 감격스러워
끝없는 가능성 중에
날 골라줘서 고마워

나와 맞이하는 미래가
위태로울지도 몰라
하지만 눈물 가득한
감동이 있을지도 몰라

그래도
내 손
놓지 않겠다면
If so
Then let's go 
Welcome to the show

Oh

이것만큼은 맹세할게
내 전부를 다 바칠게
네 눈빛 흔들리지 않게
널 바라보며 서 있을게

알아 너의 결정이 
쉽지 않았을 거야
후회 없게 하는 건 
이제 나의 몫이야

끝까지
같이
함께 가겠다면
If so
Then let's go
Welcome to the show

Oh

이것만큼은 맹세할게
내 전부를 다 바칠게
네 눈빛 흔들리지 않게
널 바라보며 서 있을게

막이 내릴 그날에도
그때도 네 손 꼭 잡은 채

너라서 행복했다고
서로가 말할 수 있도록 

이것만큼은 맹세할게
내 전부를 다 바칠게
네 눈빛 흔들리지 않게
널 바라보며 서 있을게

Oh
Oh",media/mysingimage/20240610003WelcometotheShow.jpg,DAY6 (데이식스)
https://image.bugsm.co.kr/album/images/200/202657/20265759.jpg?version=20211119004415.0,한 페이지가 될 수 있게,DAY6,The Book of Us : Gravity,03:25,"보컬 DAY6 (데이식스) 작곡 Jae , 성진 , Young K (DAY6) , 원필(DAY6) , 홍지상 작사 Young K (DAY6) 전체 보기","솔직히 말할게
많이 기다려 왔어
너도 그랬을 거라 믿어
오늘이 오길
매일같이 달력을 보면서
솔직히 나에게도
지금 이 순간은
꿈만 같아 너와 함께라
오늘을 위해
꽤 많은 걸 준비해 봤어
All about you and I
다른 건 다 제쳐 두고
Now come with me
Take my hand
아름다운 청춘의 한 장
함께 써내려 가자
너와의 추억들로
가득 채울래
(Come on)
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
This is our page
Our page
솔직히 말할게
지금이 오기까지
마냥 순탄하진 않았지
오늘이 오길
나도 목 빠져라 기다렸어
솔직히 나보다도
네가 몇 배는 더
힘들었을 거라고 믿어
오늘을 위해
그저 견뎌줘서 고마워
All about you and I
다른 건 다 제쳐 두고
Now come with me
Take my hand
아름다운 청춘의 한 장
함께 써내려 가자
너와의 추억들로
가득 채울래
(Come on)
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
Want you to
Come on out and have fun
Want us to
Have the time of our life
Oh
너와의 추억들로
가득 채울래
(Come on)
아무 걱정도 하지는 마
나에게 다 맡겨 봐
지금 이 순간이
다시 넘겨볼 수 있는
한 페이지가 될 수 있게
This is our page
Our page",media/mysingimage/20240610004hanpeijigadoelsuissge.jpg,DAY6 (데이식스)
https://image.bugsm.co.kr/album/images/200/312225/31222566.jpg?version=20231114144712.0,Back On 74,Jungle,Volcano,03:29,"작곡 Josh Lloyd Watson , Thomas McFarland , Lydia Kitto etc. Jungle(정글)","Keep it rockin', doin' the same thing
And we get high on the breakdown
And we're just watching from the same time
But that don't change what I think now
And we were talking 'bout the same crime
No, we don't hide when it rains now
I learned my lesson at the same time
Ooh, where did it
Go, back on 74 (when I noticed you)
Call this place my home
Never gonna cry anymore
Where did it all
Keep it rockin', doin' the same thing
And we get high on the break down
And we're just watching from the same time
But that don't change what I think now
And we were talking 'bout the same crime
No, we don't hide when it rains now
I learned my lesson at the same time
Ooh, where did it
Go, back on 74 (when I noticed you)
Call this place my home
Never gonna cry anymore
Where did it all
Go, let it go
Let it go
Ooh, let it go
Let it go
Let it go
Ooh
Go, back on 74 (when I noticed you)
Call this place my home
Never gonna cry anymore
Where did it all
Go, let it go
Let it go
Ooh, let it go
Let it go
Let it go
Where did it all
Go, back on 74 (when I noticed you)
Call this place my home
Never gonna cry anymore
Where did it all
Go, back on 74 (let it go, let it go)
Call this place my home (ooh, let it go)
Never gonna cry anymore (let it go, let it go)
Where did it all (ooh)
Go, back on 74
Call this place my home
Never gonna cry anymore
Where did it all",media/mysingimage/20240610005BackOn74.jpg,Jungle(정글)
https://image.bugsm.co.kr/album/images/200/201935/20193522.jpg?version=20230425043454.0,Casio,Jungle,For Ever,03:54,작곡 Dean Josiah Cover etc. Jungle(정글),"Casio
Playing on my heart just like a casio
Breaking it apart so you can let it go
Wait another year that's not original
Or cynical alright let's go now
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Play it cool
I just want the keys back to my vehicle
They just gonna tell that it wasn't real
And I just wanna tell you how I feel
I know you feel
I know you feel it too
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Casio
Playing on my heart just like a casio
Breaking it apart so you can let it go
Wait another year that's not original
Or cynical alright let's go now
When all your dreams are gone
And you're still holding on
You waited far too long
Don't say I know you know
It's over
Don't think that my love is gone
It's all up in your head now",media/mysingimage/20240610006Casio.jpg,Jungle(정글)
https://image.bugsm.co.kr/album/images/200/9169/916978.jpg?version=20230405012627.0,Dance Monkey,Tones And I,The Kids Are Coming,03:29,,"They say oh my god
I see the way you shine
Take your hand my dear
And place them both in mine
You know you stopped me dead
When I was passing by
And now I beg to see you dance
Just one more time
Ooh I see you see you
See you every time
And oh my I I like your style
You you make me make me
Make me wanna cry
And now I beg to see
You dance just one more time
So I say
Dance for me dance for me
Dance for me oh oh oh
I've never seen anybody do
The things you do before
They say move for me move for me
Move for me ay ay ay
And when you're done
I'll make you do it all again
I said oh my god I see you walking by
Take my hands my dear
And look me in my eyes
Just like a monkey
I've been dancing my whole life
And you just beg to see me dance
Just one more time
Ooh I see you see you see you every time
And oh my I I like your style
You you make me make me
Make me wanna cry
And now I beg to see you
Dance just one more time
So I say
Dance for me dance for me
Dance for me oh oh oh
I've never seen anybody
Do the things you do before
They say move for me move for me
Move for me ay ay ay
And when you're done
I'll make you do it all again
They say
Dance for me dance for me
Dance for me oh oh oh oh oh oh oh
I've never seen anybody
Do the things you do before
They say move for me move for me
Move for me ay ay ay
And when you're done
I'll make you do it all again
Ooh (All again all again)
Woah oh woah oh oh
Ooh (All again all again)
Ah ah ah ah ay
They say
Dance for me dance for me
Dance for me oh oh oh
I've never seen anybody
Do the things you do before
They say move for me move for me
Move for me ay ay ay
And when you're done
I'll make you do it all again
They say
Dance for me dance for me
Dance for me oh oh oh oh oh oh oh
I've never seen anybody
Do the things you do before
They say move for me move for me
Move for me ay ay ay
And when you're done
I'll make you do it all again
All again",media/mysingimage/20240610007DanceMonkey.jpg,Tones And I
https://image.bugsm.co.kr/album/images/200/40145/4014552.jpg?version=20201125165907.0,Fly Away,Tones And I,Fly Away,02:58,,"And I had a dream that someday
I would just fly fly away
And I always knew I couldn't stay
So I had a dream that
I'd just fly away away
I've been on my own for a minute
Is it only me out here?
Searching for the place to begin it
Is it me?
Is it you? Is it fear?
Standing on the line I was given
People stare and ask me why I'm here?
No one seems to think that I fit in
But I don't wanna be like them
No cause I don't wanna be like them
Cause I know that I know that I
Cause I had a dream that someday
I would just fly fly away
And I always knew I couldn't stay
So I had a dream
That I'd just fly away away
Oooh oh woahh woahhh
Oh I'd fly away
No one knew how low I was feeling
I was scared to reach for it all
Knowing I was here for a reason
But was scared that if I tried I'd fall
So where do I go now that I'm in it
I never thought it'd be like this
Dreaming all my life then I did it
Oh the grass is greener than it is
Cause I had a dream that someday
I would just fly fly away
And I always knew I couldn't stay
So I had a dream that
I'd just fly away away
Oooh oh woahh woahhh
Oooh oh woahh woahhh
Cause I had a dream that someday
I would just fly fly away
And I always knew I couldn't stay
So I had a dream that
I'd just fly away away
Oooh oh woahh woahhh
Oooh oh woahh woahhh",media/mysingimage/20240610008FlyAway.jpg,Tones And I
https://image.bugsm.co.kr/album/images/200/330863/33086313.jpg?version=20231011004404.0,Where Are You? (feat. Gabrielle Cavassa),Joshua Redman,where are we,05:10,"피쳐링 Gabrielle Cavassa 작곡 Harold Adamson , Jimmy McHugh 편곡 Joshua Redman(조슈아 레드맨) 전체 보기",가사 준비 중입니다.,media/mysingimage/20240610009WhereAreYoufeatGabrielleCavassa.jpg,Joshua Redman(조슈아 레드맨)
https://image.bugsm.co.kr/album/images/200/241/24167.jpg?version=20220720044222.0,Jazz Crimes,Joshua Redman,Elastic,06:43,,가사 준비 중입니다.,media/mysingimage/20240610010JazzCrimes.jpg,Joshua Redman(조슈아 레드맨)
