Title,Date,Image,Project,Artist,Content,Link,Site,Time
Kohana Lam 「Iam」 LIVE IN SEOUL,2025-04-20,media/myarticleimage/indiestreet_images_20250312/KohanaLamIamLIVEINSEOUL_2025-04-20.jpg,무신사개러지,정보없음,"Kohana Lam 「Iam」 LIVE IN SEOUL
폭발하는 감정으로 노래하는
코하나라무(こはならむ)
첫 한국 공연
공연 일정: 2025년 4월 20일 일요일 오후 5시
공연 장소: 무신사 개러지
티켓 가격: 스탠딩 88,000 원
티켓 오픈: 2025년 02월 18일 화요일 낮 12시
티켓 예매: 인터파크",https://indistreet.com/live/7078,Indiestreet,
"Centimillimental 센티밀리멘탈 ASIA TOUR 2025 ""ribbon"" 🇰🇷",2025-04-12,media/myarticleimage/indiestreet_images_20250312/CentimillimentalsentimillimentalASIATOUR2025ribbon_2025-04-12.jpg,무신사개러지,정보없음,"Centimillimental 센티밀리멘탈
ASIA TOUR 2025 ""ribbon"" 🇰🇷
📢티켓 오픈 공지
🎫 1월23일 18시부터 인터파크티켓 에서
tickets.interpark.com
🗓4월12일 6PM 무신사개러지
@CENTIMILLIMENTAL
#CENTIMILLIMENTAL #센티밀리멘탈
#CENTI #내한공연 #BAND #JPOP
#CONCERT #RUIENM ##ASIATOUR",https://indistreet.com/live/7003,Indiestreet,
교정EP 12'21 Release Tour 부산 오방가르드,2025-03-30,media/myarticleimage/indiestreet_images_20250312/gyojeongEP1221ReleaseTourbusanobanggaleudeu_2025-03-30.jpg,오방가르드,정보없음,"교정EP 12’21 Release Tour 오방가르드
새로운 EP로 다시 만나뵙게 되어서 기분이 좋습니다.
부산에서 즐겁고 행복하게 만나요!
장소 / 일시
오방가르드 @OVANTGARDE
2025년 3월 30일(일) Door open 17:00
With 야자수 Yajasu @YAJASUBAND
@GYOJUNG_OFFICIAL",https://indistreet.com/live/7119,Indiestreet,
HEN(헨) <3월 해질녘 콘서트 - 반가워요 봄>,2025-03-30,media/myarticleimage/indiestreet_images_20250312/HENhen3wolhaejilnyeokkonseoteubangawoyobom_2025-03-30.jpg,북두칠성도서관 아트훌,정보없음,"3월 해질녘 콘서트 - 싱어송라이터 HEN(헨)의 <반가워요 봄>
여러분 마음 속 인생 드라마의 OST를 만든 작곡가를 직접 만날 수 있는 해질녘 콘서트!
드라마 '나의 해방일지', '멜로가 체질', '갯마을 차차차' 등 인생 드라마 속에서 나를 더 몰입하게 만들었던 OST 명곡을 눈앞에서 들을 수 있는 3월 해질녘 콘서트는 작곡가 겸 싱어송라이터 HEN(헨)님과 함께합니다.
일시 : 2025.3.30(일) 오후5시
장소: 북두칠성도서관 아트홀
공연관람료 : 무료
예약정원 : 선착순 150명
관람연령: 중학생 이상

예약기간: 3.14(금) 오전10시 ~ 3.29(토) 오후6시 **선착순 마감
*예약기간 이전에 보낸 메시지는 예약에서 제외됩니다.
*성인의 경우 반드시 개별 신청 부탁드립니다.
(대리 신청 불가, 각각 본인 카톡으로만 신청가능, 카톡 없을 시 전화문의/070-8693-0897)
문의: 카카오톡 채널 [북두칠성도서관]",https://indistreet.com/live/7121,Indiestreet,
로우하이로우 정규 1집 발매 기념공연 [부산],2025-03-29,media/myarticleimage/indiestreet_images_20250312/louhailoujeonggyu1jibbalmaeginyeomgongyeonbusan_2025-03-29.jpg,오방가르드,정보없음,"[로우하이로우 정규 1집 발매 기념, 부산 공연]
드디어 첫 정규 앨범이 나왔습니다.
그리고 밴드 결성 이후, 처음으로 부산에서 공연을 합니다.
이번 무대를 위해 정말 많은 준비를 했습니다.
새 앨범의 곡들과 지금의 우리가 담긴 공연,
함께해 주시면 더없이 좋겠습니다.
많이 와서 즐겨주세요!
📍공연 정보 INFO
일시DATE : 2025년 3월 29일 토요일
장소VENUE : 부산 오방가르드
게스트OPENING : 철근콘크리트
로우하이로우 @BAND_LOWHIGHLOW
로우하이로우는 낮음과 높음이라는 뜻을 가지고 있다.
’만들어지고 들려지고 해체한다‘는 의미를 내포한 이름으로
이스턴 사이드킥의 리더였던 고한결과 우주아가씨 보컬이었던
윤택선 주축으로 2019년 결성되었다.
아시안 체어샷의 황영원, 데카당의 드럼 이현석이 합류하여
지금의 멤버가 완성되었다. 목소리와 실체의 악기만으로,
손에 잡힐 듯 실현 가능한 사운드만을 추구한다.
상실의 이미지를 게러지 록이라는 수단을 통해 나타낸다.
철근콘크리트 @R.CONCRETE_REAL
애착형성에 실패한 사람들을 위한
시끄럽고 조용한 밴드, 철근콘크리트
with Ovantgarde",https://indistreet.com/live/7115,Indiestreet,
팔칠댄스 클럽투어,2025-03-23,media/myarticleimage/indiestreet_images_20250312/palchildaenseukeulleobtueo_2025-03-23.jpg,Club FF,정보없음,".
팔칠댄스 클럽투어 @FF
2025/03/23(SUN) 6:00pm
Live Bands:
6:00 #87DANCE
Cover : 40,000 won (Only Door)
.티켓팅은 예매 없이 클럽 도어에서 현매로만 진행됩니다.
.입장은 현장 계시는 분 순차 입장입니다. (가방 등 본인 외 줄은 인정되지 않으며 가방 분실 시 책임져드리기 어렵고 가방 이동될 수 있습니다.소지품등 자리맡기 끼어들기 금지입니다. )
. 불쾌한 신체 접촉 발생 시 즉시 퇴장이며 입장 제재 및 법적 조치 취해질 수 있습니다. 건강 한 클럽 문화를 위해 협조 부탁드립니다.
.분실물 발생 시 영업시간 내에 직접 찾으러 와주시면 감사하겠습니다. 분실물 관련 DM 답장 어려우며 라커 미이용 분실물에 대해 책임져드리기 어렵습니다.
.상황에 따라 다른 관람객을 위해 과도한 촬영 자리맡기( 삼각대 설치 등) 는 제재 될 수 있습니다.
#홍대클럽#엪엪#CLUBFF#클럽FF#라이브클럽#락클럽#홍대인디밴드#LIVECLUB#ROCKBAND#인디밴드#INDIECLUB#ROCKDJ#밴드공연#인디공연#홍대인디#홍대공연#홍대맛집#홍대데이트코스#음악맛집#클럽공연#케이락",https://indistreet.com/live/7129,Indiestreet,
SASAMI 한국투어 (부산) with ddbb,2025-03-22,media/myarticleimage/indiestreet_images_20250312/SASAMIhangugtueobusanwithddbb_2025-03-22.jpg,오방가르드,정보없음,"SASAMI - live in Busan (Opening ddbb)
2025. 03. 22 토sat 7:30pm @OVANTGARDE
(부산 남구 용소로 7번길 15-1, B1)
<< Eng Below >>
Sasami Ashworth @SASAMIASHWORTH
(aka 사사미)가 한국을 찾아옵니다!
실험적인 록 밴드 체리 글레이저의 멤버로 이름을 알리며,
이후 솔로로 활동을 시작했습니다.
사사미의 음악에선 인디 록, 얼터너티브, 컨트리, 메탈적 요소를
통해 그의 다재다능함을 발견할 수 있습니다.
2019년에 발매한 셀프 타이틀 데뷔 앨범은 날것 그대로의
솔직함과 장르를 뛰어넘는 접근 방식으로 호평을 받았습니다.
사사미의 독특한 목소리와 혁신적인 프로듀싱은 비평가들의
찬사를 받으며 현대 음악의 강자로 자리매김했습니다.
사사미는 투어 기간 중 부산을 방문합니다.
이번 투어에 부산이 사랑하는 밴드, ddbb @DDBBYAY가
함께 멋진 공연을 준비 중입니다.
오는 3월 22일 오방가르드에서 열리는 멋진 파티가
궁금하시다면, 프로필 내 링크를 통해 티켓을 구매하세요!
Sasami Ashworth, aka Sasami, is an American musician. Initially gaining recognition as a member of the experimental rock band Cherry Glazerr, she later pursued a solo career.
Sasami’s impressively versatile music blends indie rock, alternative, country, and metal. Her self-titled debut album, released in 2019, was praised for its raw honesty and genre-defying approach. Sasami’s distinctive voice and innovative production have earned her critical acclaim, establishing her as a force in contemporary music.
As part of a short Korean tour, Sasami will be coming to Busan. She will be joined by much-loved, Busan-based indie band ddbb. The show will take place at Ovantgarde on March 22nd. You can buy tickets via the link in our bio. Tickets go on sale on February 19th.",https://indistreet.com/live/7114,Indiestreet,
[ Reciprocity 2025 Festival ],2025-03-22,media/myarticleimage/indiestreet_images_20250312/Reciprocity2025Festival_2025-03-22.jpg,무신사개러지,정보없음,"[ Reciprocity 2025 Festival ]
Reciprocity는 ‘호혜’ (서로 혜택을 주고 받음)이라는 말 그대로 한-일 양국의 밴드들이 한 무대에서 함께 공연을 함으로서 비슷한 느낌의 음악을 좋아하는 양국 팬들에게 이들의 음악을 선보이며 아티스트 간뿐만 아니라 아티스트와 관객간의 시너지 창출에 초점을 맞춘 공연입니다.
<RECIPROCITY 2025>
▪︎ 일시 : 2025.3.22 (토) ▪︎ 공연장 : 무신사 개러지 ▪︎ 티켓가격 : 3일 패스권 99,000원 (전석 스탠딩)
▪︎일정
-3.21 오픈 리허설
-3.22 팬 사인회 / RECIPROCITY2025
-3.23 스페셜이벤트
▪︎라인업
🇰🇷 투 데이 올드 스니커즈 @2DAYOLDSNEAKERS
🇯🇵 스이추 스피카 @SUICHU_SPICA_OFFICIAL
🇯🇵 조니반 @WELOVEJOHNNIVAN
🇯🇵 브레멘 @BREIMEN_JP
🇰🇷 불고기디스코 @BULGOGIDISCO
▪︎티켓 예매처: 인터파크 티켓 🎫
-2025년 2월 20일 (목) 저녁 8시 오픈
(https://tickets.interpark.com/goods/25002300?)
▪︎주최/주관: 시트린 프로덕션 @CITRINE_PRODUCTIONS",https://indistreet.com/live/7110,Indiestreet,
펑크락불타오르라 5탄!!!,2025-03-22,media/myarticleimage/indiestreet_images_20250312/peongkeulagbultaoleula5tan_2025-03-22.jpg,Club Victim,정보없음,"🔥펑크락불타오르라 5탄!!!🔥
펑크락과 행복을 향한 우리들의 외침! 펑크온파이어 앨범 발매가 드디어 3월12일로 예정되었습니다.👏👏
이를 기념하여 3월22일에 클럽 빅팀에서 사랑하고 존경해 마지않는 10팀의 펑크밴드들과 함께 펑크대잔치를 열게 되었습니다. 많은 응원과 관심 부탁드립니다!!🤘
🔥2025년 3월22일(토) 입장 5:00/ 공연시작 5:30
’클럽 빅팀‘ @CLUB_VICTIM
(와우산로 53 지하1층. 상수역 1번 출구 150m, 도보 3분)
🔥타임테이블
5:30~5:55 이디어츠 @IDIOTS.BAND
6:05~6:30 오버헤드 @OVERHEAD_KOR
6:40~7:05 로우브라더스 @ROW_BROTHERS_OFFICIAL
7:15~7:40 폭음만취 @POKEMAN_CHI
7:50~8:15 메리헤이데이 @MERRY_HEY_DAY
8:25~8:50 포고어택 @POGO_ATTACK
9:00~9:25 투파이브 @TWOFIVE_OFFICIAL
9:35~10:00 갓오브유니버스 @GODOFUNIVERSEOFFICIAL
10:10~10:35 코튼스틱 @COTTONSTICK_OFFICIAL
10:45~ 펑크온파이어 @PUNK_ON_FIRE
(현장 상황에 따라 지연 및 변경될 수 있습니다.)
🔥예매:15,000원/현매:30,000원
*예매 방법: 신한은행 110-392-192261 (이원각)
15,000원 입금 후 010-5061-3302 문자
*예매마감 : 3월21일(금)
*외부주류 반입금지, 외부음식 반입가능
*문의: 010-5061-3302 @KAK_ON_FIRE
#갓오브유니버스 #오버헤드 #로우브라더스 #폭음만취 #메리헤이데이 #포고어택 #투파이브 #이디어츠 #코튼스틱 #펑크온파이어 #클럽빅팀
#펑크락불타오르라 #펑크락 #행복 #나자신 #또우리",https://indistreet.com/live/7130,Indiestreet,
KOHAI & Friends,2025-03-21,media/myarticleimage/indiestreet_images_20250312/KOHAIFriends_2025-03-21.jpg,무신사개러지,정보없음,"KOHAI & Friends는 전 세계 팬들에게 떠오르는 아티스트들을 소개하는 콘서트 시리즈입니다.
국내에서는 처음으로, 3월 21일 홍대에 위치한 무신사 개러지에서 @SLCHLD , @PRYVTOFFICIAL , @BRODYOTW, 그리고 @JENNASUHL 과 함께 특별한 라이브 공연을 선보입니다.
티켓 예매 오픈: 2025년 3월 11일 (화) 2:00 PM
티켓 예매처: https://tickets.interpark.com/
KOHAI & Friends 공연에 대한 자세한 정보는 https://www.kohai.com/friends 에서 확인 하실 수 있습니다 (link in bio)",https://indistreet.com/live/7122,Indiestreet,
