Title,Project,Date,Artist,Image,Content
[MONO NO AWARE Live in Seoul],무신사개러지,2024-12-22,MONO NO AWARE,media/myarticleimage/image_1008/MONONOAWARELiveinSeoul_2024-12-22.jpg,"[MONO NO AWARE Live in Seoul]
틀에 얽매이지 않는 자유로운 사운드와
위트있는 가사로 사랑받는
일본의 4인조 록밴드
모노노아와레 첫 내한공연
공연 일정: 2024년 12월 22일 일요일 오후 6시
공연 장소: 무신사 개러지
티켓 가격: 전석 스탠딩 77,000 원
티켓 예매: 인터파크"
"𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥",무신사개러지,2024-12-14,betcover!!,media/myarticleimage/image_1008/_2024-12-14.jpg,"✷ 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 ✷
아시안 팝 페스티벌에서 열광적인 반응을 이끌어낸 후, 수많은 팬들이 기다려온 betcover!!의 첫 내한 단독 공연이 확정되었습니다!
아팝페에서 공연한 5명의 멤버들에 더해, 일본에서 뜨거운 주목을 받고 있는 신예 색소폰 연주자 '마츠마루 케이’도 참여한 6인조 밴드 셋으로 찾아옵니다. 더욱 알차고 폭발적인 퍼포먼스를 기대해주세요!
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 공연일시 : 2024년 12월 14일 (토) 오후6시
➺ 장소 : 홍대 무신사 개러지 (서울특별시 마포구 잔다리로 32 (서문빌딩) B1F)
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 티켓 가격 : 예매 88,000원
➺ 티켓 오픈 일시 : 10월 18일 (금) 오후2시
➺ 예매처 : 인터파크 티켓
➺ 문의처 : asianpopfestivalkr@GMAIL.COM
────── ✷ ──────
After receiving an enthusiastic response at Asian Pop Festival, the long-awaited Seoul headline debut of betcover!! has been confirmed!
In addition to the 5 members who performed at the festival, the band will be joined by the up-and-coming saxophonist Kei Matsumaru, who has been gaining significant attention in Japan. You can expect an even more enhanced and explosive live performance with this 6 piece band setup, so don’t miss out on this opportunity!
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 公演日：2024年12月14日 (土)
➺ 会場：ソウル・弘大 musinsa garage
➺ 時間：開場 17:30 / 開演 18:00
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 料金：前売 88,000 won
➺ 前売チケット取扱：インターパーク http://ticket.interpark.com/
➺ チケット発売日：10月18日 (金) 14:00~
➺ お問い合わせ：asianpopfestivalkr@GMAIL.COM
⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯
betcover!! are:
Jiro Yanase (vocals, guitar)
Riki Hidaka (guitar)
Hayato Yoshida (bass)
Yudai Takasago (drums)
Tsukasa Shirase (keyboards)
Kei Matsumaru (saxophone)
───────────
【 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 】
••➤ 아시안 팝 페스티벌을 주관하는 APF 컴퍼니가 준비한 'APF Concerts PRESENTS' 시리즈를 시작합니다. APF Concerts PRESENTS는 아팝페를 통해 소개했던 음악가들과 많은 국내 음악 팬들이 만나고 싶어하는 새로운 아시아 음악가들을 만날 수 있는 시리즈 공연입니다. 아팝페에서 느꼈던 흥분을 새롭게 이어갈 수 있는 공연들을 꾸준히 준비할 예정이니 많은 관심 부탁드립니다.
────── ✷ ──────
#BETCOVER!! #아팝페 #아팝페콘서트프리젠트 #APFCONCERTSPRESENTS"
[SIRUP Live in Seoul],무신사개러지,2024-12-08,SIRUP,media/myarticleimage/image_1008/SIRUPLiveinSeoul_2024-12-08.jpg,"📢 SIRUP 내한공연
[SIRUP Live in Seoul]
장르를 넘나들며 Hip의 정수를 보여주는 일본 아티스트 SIRUP🎶
여러 아티스트와 콜라보레이션은 물론 한국 아티스트 SUMIN(수민)과의 콜라보레이션으로 한국에도 이름을 알린 SIRUP이 드디어 첫 내한으로 여러분을 찾아옵니다.
🌟SPECIAL GUEST🌟
SUMIN(수민)
• 공연 일시 : 2024.12.08(일) 오후 4시
• 공연 장소 : 무신사 개러지 / musinsa garage
• 티켓 가격 : VIP패키지 168,000원 / 스탠딩 88,000원
• 예매처 : 인터파크 티켓 단독[interpark ticket](@MUZ_PACE_ENT 프로필 링크)
✨추후 공지사항은 @MUZ_PACE_ENT에서 확인 하실 수 있습니다!
@SIRUP_INSTA @MUZ_PACE_ENT"
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>,무신사개러지,2024-12-03,FIJI BLUE,media/myarticleimage/image_1008/FijiBlueLIVEINSEOULTheGlideTourAsia_2024-12-03.jpg,"[공연안내] 피지 블루 내한공연 (@FIJIBLUE)
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>
▶티켓오픈 : 2024년 9월 30일 (월) 낮 12시
▶예매처 : 인터파크 티켓(lrl.kr/KLwy), 멜론티켓(lrl.kr/tYWm)
▶공연일시 : 2024년 12월 3일(화) 오후 8시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>
▶On-sale : Sep 30 (MON), 2024 at 12pm
▶Ticket : INTERPARK TICKET(lrl.kr/hovl),
MELON TICKET(lrl.kr/pMNm)
▶Date : Dec 3 (Tue), 2024 at 8pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000"
[eill BLUE ROSE TOUR 2024 in SEOUL],무신사개러지,2024-11-23,eill,media/myarticleimage/image_1008/eillBLUEROSETOUR2024inSEOUL_2024-11-23.jpg,"📢 eill 내한공연
[eill BLUE ROSE TOUR 2024 in SEOUL]
'여름을 향한 터널, 이별의 출구'의 OST로 국내 팬들의 귀를 사로잡았던 일본 싱어송라이터 eill(@_EILL_)
2024 eill BLUE ROSE TOUR의 마지막을 한국에서 장식합니다.
• 공연 일시 : 2024.11.23(토)~24(일) 오후 7시
• 공연 장소 : 무신사 개러지 / musinsa garage
• 티켓 가격 : 전석 스탠딩 88,000원
• 예매처 : 인터파크 티켓 단독[interpark ticket](@MUZ_PACE_ENT 프로필 링크)
✨️추후 공지사항은 @MUZ_PACE_ENT에서 확인 하실 수 있습니다!
@_EILL_ @EILL_INFO @MUZ_PACE_ENT"
보리스 그레벤시코프 내한공연,무신사개러지,2024-11-22,보리스 그레벤시코프,media/myarticleimage/image_1008/boliseugeulebensikopeunaehangongyeon_2024-11-22.jpg,"전설적인 록 밴드 아크바리움(Aquarium)의 리더 보리스 그레벤시코프 (BG, Boris Grebenshikov) 내한공연
*공연은 아크바리움의 멤버들과 함께 합니다.
공연정보
일시 : 2024년 11월 22일 금요일 오후 7시 30분
장소 : 홍대 무신사 개러지
가격 : VIP 200,000원 스탠딩 88,000원"
𝗶𝗻𝗱𝗶𝗴𝗼 𝗹𝗮 𝗘𝗻𝗱 𝗟𝗶𝘃𝗲 𝗶𝗻 𝗦𝗲𝗼𝘂𝗹,무신사개러지,2024-11-16,Indigo la End,media/myarticleimage/image_1008/_2024-11-16.jpg,"𝗶𝗻𝗱𝗶𝗴𝗼 𝗹𝗮 𝗘𝗻𝗱 𝗟𝗶𝘃𝗲 𝗶𝗻 𝗦𝗲𝗼𝘂𝗹
🗓️공연일시: 2024년 11월 16일 (토) 오후 7시
📍장소: 홍대 무신사 개러지 / 서울특별시 마포구 잔다리로 32 (서문빌딩) B1F
🔹티켓 가격: 예매 99,000원
🔹티켓 오픈 일시: 8월 13일 (화) 12:00
🔹예매처: 인터파크 http://ticket.interpark.com/
🔹문의처: hipsquare@NAVER.COM
▫️公演日：2024年11月16日 (土)
▫️会場：ソウル・弘大 musinsa garage
▫️時間：開場 18:00 / 開演 19:00
▫️出演：indigo la End
▫️料金：前売 99,000won
▫️チケット発売日：8月13日 (火) 12:00~
🔻http://ticket.interpark.com/
▫️お問い合わせ：hipsquare@NAVER.COM
인디고 지평선을 닮은 일본 밴드 -
인디고 라 엔드의 첫 단독 내한 공연
특유의 음악 색깔을 지닌 밴드 인디고 라 엔드가 인천펜타포트락페스티벌에 이어 오는 11월 첫 단독 공연으로 한국 팬들을 찾을 예정입니다.
노을이 지고 짙은 쪽빛이 내려앉은 하늘처럼 몽환적이고 감성적인 이들의 음악을 가을에도 즐길 수 있게 되었습니다.
인디고 라 엔드는 2010년 카와타니 에논을 주축으로 결성되어 몇차례 멤버 구성의 변화에도 흔들림없이 자신들만의 음악 세계를 구축해나가고 있습니다. 기타 선율과 함께 전개되는 보컬, 여기에 절묘하게 조화를 이루는 리듬 섹션, 그리고 세심하게 틈을 채우는 코러스까지. 세밀하게 전개되는 인디고 라 엔드 음악의 절묘함의 미학은 무대에서 밀도있게 표현됩니다.
일본에서 다양한 형태로 음악 세계를 펼치고 있기도 한 보컬 카와타니 에논에게 인디고 라 엔드는 그의 음악적 출발점과도 같습니다. 독보적인 음악으로 팬층을 형성해가고 있는 이 밴드의 매력을 무대에서 꼭 확인해보시길 바랍니다.
#𝗶𝗻𝗱𝗶𝗴𝗼𝗹𝗮𝗘𝗻𝗱 #인디고라엔드"
<Samm Henshaw LIVE IN SEOUL>,무신사개러지,2024-11-10,Samm Henshaw,media/myarticleimage/image_1008/SammHenshawLIVEINSEOUL_2024-11-10.jpg,"샘 헨쇼 내한공연
<Samm Henshaw LIVE IN SEOUL>
How Does It Feel? 😎❓❕
파워풀한 목소리와 레트로 소울을 지닌
영국 싱어송라이터 샘 헨쇼(@SAMMHENSHAW)
11월 10일 (일) 무신사 개러지, 내한공연 확정!
▶공연일시 : 2024년 11월 10일 (일) 오후 6시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
▶티켓오픈 : 2024년 7월 26일 (금) 낮 12시
▶예매처 : 인터파크 티켓(ticket.interpark.com),
멜론티켓(ticket.melon.com)
<Samm Henshaw LIVE IN SEOUL>
▶Date : Nov 10 (SUN), 2024 at 6pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000
▶On-sale : July 26 (FRI), 2024 at 12pm
▶Ticket : INTERPARK TICKET(ticket.interpark.com),
MELON TICKET(ticket.melon.com)"
Matt Maltese LIVE IN SEOUL,무신사개러지,2024-11-08,Matt Maltese,media/myarticleimage/image_1008/MattMalteseLIVEINSEOUL_2024-11-08.jpg,"맷 말티스 내한공연
<Matt Maltese LIVE IN SEOUL>
As The World Caves In🎞
진솔한 가사로 위로를 전하는
싱어송라이터 맷 말티스(@MATTHEWMALTESE)
11월 8일(금), 첫 단독 내한공연 확정!
▶공연일시 : 2024년 11월 8일(금) 오후 8시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
▶티켓오픈 : 2024년 5월 27일 (월) 낮 12시
▶예매처 : 인터파크 티켓(ticket.interpark.com),
멜론티켓(ticket.melon.com)
<Matt Maltese LIVE IN SEOUL>
▶Date : Nov 8 (FRI), 2024 at 8pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000
▶On-sale : May 27 (Mon), 2024 at 12pm
▶Ticket : INTERPARK TICKET(ticket.interpark.com),
MELON TICKET(ticket.melon.com)"
"HARUNA LUNA Asia Tour 2024 ""Corridor in the Mirror""",무신사개러지,2024-11-02,미정,media/myarticleimage/image_1008/HARUNALUNAAsiaTour2024CorridorintheMirror_2024-11-02.jpg,"HARUNA LUNA
Asia Tour 2024
""Corridor in the Mirror""
Support by OSHI TO DATE
하루나 루나
아시아 투어 2024
🔥2024.11.2 Sat 19:00
장소: 무신사개러지
📢티켓오픈: 2024.09.06 18시
🎫티켓: 인터파크티켓
문의: ruienminfo@NAVER.COM
#HARUNALUNA #하루나루나"
