Title,Date,Image,Project,Artist,Content,Link,Site,Time
"𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥",2025-01-19,media/myarticleimage/indiestreet_images_20241113\_2025-01-19.jpg,무신사개러지,betcover!!,"✷ 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 ✷
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 공연일시 : 2025년 1월 19일 (일) 오후 6시
➺ 장소 : 홍대 무신사 개러지 (서울특별시 마포구 잔다리로 32 (서문빌딩) B1F)
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 티켓 가격 : 예매 88,000원
➺ 티켓 오픈 일시 : 11월 13일 (수) 오후2시
➺ 예매처 : 인터파크 티켓(국내), 글로벌 인터파크(해외)
아시안 팝 페스티벌에서 열광적인 반응을 이끌어낸 후, 수많은 팬들이 기다려온 betcover!!의 첫 내한 단독 공연이 확정되었습니다!
아팝페에서 공연한 5명의 멤버들에 더해, 일본에서 뜨거운 주목을 받고 있는 신예 색소폰 연주자 '마츠마루 케이’도 참여한 6인조 밴드 셋으로 찾아옵니다. 더욱 알차고 폭발적인 퍼포먼스를 기대해주세요!
────── ✷ ──────
After receiving an enthusiastic response at Asian Pop Festival, the long-awaited Seoul headline debut of betcover!! has been confirmed!
In addition to the 5 members who performed at the festival, the band will be joined by the up-and-coming saxophonist Kei Matsumaru, who has been gaining significant attention in Japan. You can expect an even more enhanced and explosive live performance with this 6 piece band setup, so don’t miss out on this opportunity!
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 公演日：2025年1月19日 (日)
➺ 会場：ソウル・弘大 musinsa garage
➺ 時間：開場 17:30 / 開演 18:00
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 料金：前売 88,000 won
➺ 前売チケット取扱：インターパーク http://ticket.interpark.com/
➺ チケット発売日：11月13日 (水) 14:00~
───────────
【 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 】
••➤ 아시안 팝 페스티벌을 주관하는 APF 컴퍼니가 준비한 'APF Concerts Presents' 시리즈를 시작합니다. APF Concerts Presents는 아팝페를 통해 소개했던 음악가들과 많은 국내 음악 팬들이 만나고 싶어하는 새로운 아시아 음악가들을 만날 수 있는 시리즈 공연입니다. 아팝페에서 느꼈던 흥분을 새롭게 이어갈 수 있는 공연들을 꾸준히 준비할 예정이니 많은 관심 부탁드립니다.
────── ✷ ──────
#BETCOVER!! #아팝페 #아팝페콘서트프리젠트 #APFCONCERTSPRESENTS",https://indistreet.com/live/6873,Indiestreet,
크리스마스 기우제 부산공연 - 왑띠 / 릴리잇머신 / 일가인,2024-12-22,media/myarticleimage/indiestreet_images_20241113\keuliseumaseugiujebusangongyeonwabttililliismeosinilgain_2024-12-22.jpg,오방가르드,"ilgyne, panda, 릴리잇머신, 왑띠, 일가인, 플라스틱키즈","PANDAGIPS PRESENT 첫 기획공연
크리스마스 기우제 [ 부산공연 ]
Sun
장소 : 오방가르드 @OVANTGARDE ( 부산 남구 용소로7번길 15-1 지하 )
입장 Door Open : 5:30pm
공연시작 Start : 6pm
왑띠 @WAPDDI
릴리잇머신 @LILLYEATMACHINE
일가인 @ILGYNE_OFFICIAL
가내수공업 음악의 장인 왑띠 @WAPDDI 가 작정하고 만든 이모앨범 [우리의 친구 머피처럼]이 발매된 지 8개월 만에,
가벼움과 무거움, 그리고 슈게이징, 드림 팝, 포스트 펑크가 뒤섞인 환각의 앨범 [우리는 불연소의 여름에 갇힌 채 밤을 맞고] 릴리잇머신 @LILLYEATMACHINE 을 1년 만에,
드디어 대구와 부산으로 초대했습니다.
그리고 드디어 대구와 부산에서 지내게 된 ""크리스마스 기우제”와
이들을 맞이할 제사장으로 나타난
대구의 펑크-인디 팝 밴드 플라스틱키즈 @PLASTICKIZ
부산의 6-70년대 스타일 펑크 밴드 일가인 @ILGYNE_OFFICIAL
후회 없는 크리스마스 파티를 보여드리겠습니다!
공지 Notice
-예매는 프로필 링크를 클릭하세요.
-예매와 환불은 12월 19일 목요일 12pm(정오)까지 가능합니다.
-환불문의는 @PANDAGIPS DM이나 pandagipspresent@GMAIL.COM으로 부탁드립니다.
-80석 매진 시 현장예매는 없습니다.
-예매자, 입금자 성함은 둘 다 동일한 사람을 원칙으로 부탁드립니다.
-입금이 완료되면 24시간 내로 예매 확인 메일을 보내드립니다.
포스터 제작: @NANUN.DANDAN",https://indistreet.com/live/6847,Indiestreet,
[MONO NO AWARE Live in Seoul],2024-12-22,media/myarticleimage/indiestreet_images_20241113\MONONOAWARELiveinSeoul_2024-12-22.jpg,무신사개러지,MONO NO AWARE,"[MONO NO AWARE Live in Seoul]
틀에 얽매이지 않는 자유로운 사운드와
위트있는 가사로 사랑받는
일본의 4인조 록밴드
모노노아와레 첫 내한공연
공연 일정: 2024년 12월 22일 일요일 오후 6시
공연 장소: 무신사 개러지
티켓 가격: 전석 스탠딩 77,000 원
티켓 예매: 인터파크",https://indistreet.com/live/6766,Indiestreet,
2024 크라잉넛 연말콘서트 <뜨거운 안녕>,2024-12-15,media/myarticleimage/indiestreet_images_20241113\2024keulaingneosyeonmalkonseoteutteugeounannyeong_2024-12-15.jpg,무신사개러지,크라잉넛,"<크라잉넛 단독공연 티켓오픈 안내>
유난히 뜨거웠던 올해가 지나갑니다.
뜨거운 열정으로 열심히 달려온 2024년에 뜨거운 안녕을 고하며,
힘들었던 기억은 옆차기 하듯 날려버리고
크라잉넛과 함께 다가올 2025년을 또 뜨겁게 맞이합시다!
🔥👋🔥👋
2024 크라잉넛 연말콘서트 <뜨거운 안녕>
🔹공연일시 : 2024년 12월 15일 (일) PM 06:00
🔹공연장소 : 무신사개러지
🔹티켓예매 : 인터파크 티켓
🔹티켓오픈 : 2024년 11월 7일 (목) 낮 12시
🔹티켓가격 : 예매 77,000원 현매 80,000원
예매링크 👉🏻 https://mobileticket.interpark.com/goods/24015912?&result=Y
#크라잉넛 #CRYINGNUT #크라잉넛연말콘서트 #뜨거운안녕
#무신사개러지 #단독콘서트 #연말공연 #🔥👋",https://indistreet.com/live/6871,Indiestreet,
"𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥",2024-12-14,media/myarticleimage/indiestreet_images_20241113\_2024-12-14.jpg,무신사개러지,betcover!!,"✷ 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 ✷
아시안 팝 페스티벌에서 열광적인 반응을 이끌어낸 후, 수많은 팬들이 기다려온 betcover!!의 첫 내한 단독 공연이 확정되었습니다!
아팝페에서 공연한 5명의 멤버들에 더해, 일본에서 뜨거운 주목을 받고 있는 신예 색소폰 연주자 '마츠마루 케이’도 참여한 6인조 밴드 셋으로 찾아옵니다. 더욱 알차고 폭발적인 퍼포먼스를 기대해주세요!
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 공연일시 : 2024년 12월 14일 (토) 오후6시
➺ 장소 : 홍대 무신사 개러지 (서울특별시 마포구 잔다리로 32 (서문빌딩) B1F)
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 티켓 가격 : 예매 88,000원
➺ 티켓 오픈 일시 : 10월 18일 (금) 오후2시
➺ 예매처 : 인터파크 티켓
➺ 문의처 : asianpopfestivalkr@GMAIL.COM
────── ✷ ──────
After receiving an enthusiastic response at Asian Pop Festival, the long-awaited Seoul headline debut of betcover!! has been confirmed!
In addition to the 5 members who performed at the festival, the band will be joined by the up-and-coming saxophonist Kei Matsumaru, who has been gaining significant attention in Japan. You can expect an even more enhanced and explosive live performance with this 6 piece band setup, so don’t miss out on this opportunity!
𝐛𝐞𝐭𝐜𝐨𝐯𝐞𝐫!! - ""𝐮𝐦𝐚 𝐭𝐨𝐮𝐫 𝟐"" 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥
➺ 公演日：2024年12月14日 (土)
➺ 会場：ソウル・弘大 musinsa garage
➺ 時間：開場 17:30 / 開演 18:00
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 料金：前売 88,000 won
➺ 前売チケット取扱：インターパーク http://ticket.interpark.com/
➺ チケット発売日：10月18日 (金) 14:00~
➺ お問い合わせ：asianpopfestivalkr@GMAIL.COM
⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯
betcover!! are:
Jiro Yanase (vocals, guitar)
Riki Hidaka (guitar)
Hayato Yoshida (bass)
Yudai Takasago (drums)
Tsukasa Shirase (keyboards)
Kei Matsumaru (saxophone)
───────────
【 𝑨𝑷𝑭 𝑪𝑶𝑵𝑪𝑬𝑹𝑻𝑺 𝑷𝑹𝑬𝑺𝑬𝑵𝑻𝑺 】
••➤ 아시안 팝 페스티벌을 주관하는 APF 컴퍼니가 준비한 'APF Concerts PRESENTS' 시리즈를 시작합니다. APF Concerts PRESENTS는 아팝페를 통해 소개했던 음악가들과 많은 국내 음악 팬들이 만나고 싶어하는 새로운 아시아 음악가들을 만날 수 있는 시리즈 공연입니다. 아팝페에서 느꼈던 흥분을 새롭게 이어갈 수 있는 공연들을 꾸준히 준비할 예정이니 많은 관심 부탁드립니다.
────── ✷ ──────
#BETCOVER!! #아팝페 #아팝페콘서트프리젠트 #APFCONCERTSPRESENTS",https://indistreet.com/live/6778,Indiestreet,
GOD BLAST YOU 2024,2024-12-14,media/myarticleimage/indiestreet_images_20241113\GODBLASTYOU2024_2024-12-14.jpg,Club FF,"ガガガsp, 귀하, 위닝샷, 초록불꽃소년단, 플라스틱키즈","Atteawapo Presents
**예매 마감 되었습니다**
GOD BLAST YOU 2024
2023.12.17(SAT) 17:00 at Club FF
Line up
ガガガSP
Green flame boys
WinningShot
plastickiz
ADV 45,000
DOOR 55,000
ADV Link
**예매 마감 되었습니다**
2024연말 지상 최대의 펑크락쑈가 펼쳐진다
""GOD BLAST YOU""
긴 공백기 끝에 복귀하는 초록불꽃소년단, 최근 싱글을 발매하고 일본투어를 다녀온 Winningshot
두 팀의 레전드 공동기획 갓블라스트유가 돌아왔습니다.
올해는 어떤 밴드들이 함께 하는지 같이 알아볼까요?!
ガガガsp (가가가스페셜)
1997년에 결성된 가가가SP는 일본 청춘펑크 레전드이며 매년 자체 락페스티벌인 나가타행진곡을 개최하고 있습니다.
초불소도 영향을 많이 받은 가가가SP는 청춘의 단맛,짠맛,쓴맛,매운맛을 모두 담은 음악으로 여러분의 감정을 요동치게 해줄 것입니다.
한국에서의 라이브가 처음인 그들이 보여줄 뜨거운 청춘의 한 페이지를 함께 불살라봅시다.
Plastickiz (플라스틱키즈)
그리고 또 하나의 초대손님, 플라스틱키즈가 갓블라스트유 참전!
청량함 그 자체를 뿜어내는 밴드로 대구에서 현재 최고의 주가를 달리고 있으며, 유려한 멜로디로 무장한 그들의 라이브는 모두의 마음의 사로잡을 것이라 믿어 의심치 않습니다.",https://indistreet.com/live/6864,Indiestreet,
[SIRUP Live in Seoul],2024-12-08,media/myarticleimage/indiestreet_images_20241113\SIRUPLiveinSeoul_2024-12-08.jpg,무신사개러지,SIRUP,"📢 SIRUP 내한공연
[SIRUP Live in Seoul]
장르를 넘나들며 Hip의 정수를 보여주는 일본 아티스트 SIRUP🎶
여러 아티스트와 콜라보레이션은 물론 한국 아티스트 SUMIN(수민)과의 콜라보레이션으로 한국에도 이름을 알린 SIRUP이 드디어 첫 내한으로 여러분을 찾아옵니다.
🌟SPECIAL GUEST🌟
SUMIN(수민)
• 공연 일시 : 2024.12.08(일) 오후 4시
• 공연 장소 : 무신사 개러지 / musinsa garage
• 티켓 가격 : VIP패키지 168,000원 / 스탠딩 88,000원
• 예매처 : 인터파크 티켓 단독[interpark ticket](@MUZ_PACE_ENT 프로필 링크)
✨추후 공지사항은 @MUZ_PACE_ENT에서 확인 하실 수 있습니다!
@SIRUP_INSTA @MUZ_PACE_ENT",https://indistreet.com/live/6709,Indiestreet,
✷ 𝐒𝐡𝐢𝐧𝐭𝐚𝐫𝐨 𝐒𝐚𝐤𝐚𝐦𝐨𝐭𝐨 𝐋𝐈𝐕𝐄 𝟐𝟎𝟐𝟒 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥 ✷,2024-12-07,media/myarticleimage/indiestreet_images_20241113\_2024-12-07.jpg,무신사개러지,"mot, 유지, 𝐒𝐡𝐢𝐧𝐭𝐚𝐫𝐨 𝐒𝐚𝐤𝐚𝐦𝐨𝐭𝐨","✷ 𝐒𝐡𝐢𝐧𝐭𝐚𝐫𝐨 𝐒𝐚𝐤𝐚𝐦𝐨𝐭𝐨 𝐋𝐈𝐕𝐄 𝟐𝟎𝟐𝟒 𝐢𝐧 𝐒𝐞𝐨𝐮𝐥 ✷
➺ 공연일시 : 2024년 12월 7일 (토) 오후 7시
➺ 장소 : 홍대 무신사 개러지 (서울특별시 마포구 잔다리로 32 (서문빌딩) B1F)
⋯ 주최 : helicopter seoul
⋯ 협력 : APF company
밴드 유라유라제국을 결성해 음악 경력을 시작한 사카모토 신타로는 솔로 활동으로도 널리 알려져 있으며 어디에도 머무르지 않는 특유의 감각을 가진 음악으로 많은 리스너들의 사랑을 받아왔다. 올해 아시안 팝 페스티벌을 통해 처음으로 한국 관객들을 만난 사카모토 신타로는 다시 한번 단독 공연으로 한국 관객들을 만날 예정이다. 이번 단독 공연에도 사카모토 신타로, AYA, 니시우치 테츠, 스가누마 유타의 멤버로 함께 한다.
🎫 𝗧𝗜𝗖𝗞𝗘𝗧
➺ 티켓 가격 : 예매 99,000원
➺ 티켓 오픈 일시 : 10월 31일 (목) 오후2시
➺ 예매처 : 인터파크 티켓
➺ 문의처 : helicopter.seoul@GMAIL.COM
⋯ Shintaro Sakamoto 사카모토 신타로 ⋯
사카모토 신타로는 대학 시절 밴드 유라유라제국을 결성해 보컬로 활동하며 음악 경력을 시작했다. 사이키델릭부터 개러지 록까지 다양한 스타일을 가지고 있던 밴드는 2010년 해체되었고, 이듬해 사카모토 신타로는 Zelone Records라는 음악 레이블을 설립하며 솔로 활동을 시작. 솔로 작업은 밴드의 본질을 유지하면서 다양한 타악기와 관악기를 사용한 편곡과 사카모토 신타로의 나른하고 자유로운 보컬 스타일로 인해 특유의 감각을 만들어낸다. 새로운 스타일을 보여준 그의 음악은 일본을 넘어 유럽과 미국에서 주목받으면서 Mayer Hawthorne, O Terno 등 다양한 음악가들과 함께 작업을 진행했다.
──────────────
#SHINTAROSAKAMOTO #사카모토신타로 #APFCOMPANY",https://indistreet.com/live/6872,Indiestreet,
[IDIOTS IN THE GARDEN] Vol.3,2024-12-06,media/myarticleimage/indiestreet_images_20241113\IDIOTSINTHEGARDENVol3_2024-12-06.jpg,Club Victim,"극동아시아타이거즈, 베어풋인더가든, 이디어츠","울면 안돼~ 울면 안돼~☃️
따뜻한 연말을 맞이하여 돌아온 [IDOTS IN THE GARDEN] Vol.3에 여러분을 초대합니다!
무대에 미친 루돌프들 [베어풋인더가든] @BEARFOOTINTHEGARDEN
연말을 특별히 꾸며줄 선물꾸러미 [극동아시아타이거즈] @FAR_EAST_ASIAN_TIGERS
멍청하고 따뜻한 산타들 [이디어츠] @IDIOTS.BAND
장소 : 클럽 빅팀@CLUB_VICTIM
시간 : 2024년 12월 6일(금) 19시 30분
티켓가격 : 예매 25,000원. 현매 30,000원
토스뱅크 1000-8175-1044 최효근
📌예매 오픈일 : 11월 14일 목요일 정오 (예매 링크 추후 공지)
입금 확인된 순으로 입장번호 배부되는점 참고해주세요
이디어츠인더가든과 함께 따뜻한 연말과 희망찬 새해를 맞이하도록 해요!🎄
*예매하시는 모든 분들께 크리스마스 엽서를 드립니다🎁",https://indistreet.com/live/6844,Indiestreet,
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>,2024-12-03,media/myarticleimage/indiestreet_images_20241113\FijiBlueLIVEINSEOULTheGlideTourAsia_2024-12-03.jpg,무신사개러지,FIJI BLUE,"[공연안내] 피지 블루 내한공연 (@FIJIBLUE)
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>
▶티켓오픈 : 2024년 9월 30일 (월) 낮 12시
▶예매처 : 인터파크 티켓(lrl.kr/KLwy), 멜론티켓(lrl.kr/tYWm)
▶공연일시 : 2024년 12월 3일(화) 오후 8시
▶공연장소 : 무신사 개러지
▶티켓가격 : 스탠딩석 99,000원
<Fiji Blue LIVE IN SEOUL 'The Glide Tour Asia'>
▶On-sale : Sep 30 (MON), 2024 at 12pm
▶Ticket : INTERPARK TICKET(lrl.kr/hovl),
MELON TICKET(lrl.kr/pMNm)
▶Date : Dec 3 (Tue), 2024 at 8pm
▶Venue : MUSINSA GARAGE
▶Ticket Price : Standing 99,000",https://indistreet.com/live/6767,Indiestreet,
